Experiment,time(min),Input 1 Pre,Input 2 Pre,Input 1,Input 2,Observable 1 mean,Observable 1 sd,Observable 2 mean,Observable 2 sd,Observable 3 mean,Observable 3 sd,Observable 4 mean,Observable 4 sd
1,0,1.00E-07,100,1.00E-07,100,1.06E-07,9.56E-09,42.181,3.9293,2967.6,276.99,147.44,13.407
1,5,1.00E-07,100,1.00E-07,100,1.06E-07,9.56E-09,32.023,3.9293,2586,276.99,139.32,13.407
1,10,1.00E-07,100,1.00E-07,100,8.97E-08,9.56E-09,35.302,3.9293,2402.8,276.99,151.29,13.407
1,15,1.00E-07,100,1.00E-07,100,1.03E-07,9.56E-09,36.949,3.9293,2599.5,276.99,110.77,13.407
1,20,1.00E-07,100,1.00E-07,100,9.05E-08,9.56E-09,37.826,3.9293,3054.3,276.99,125.18,13.407
1,25,1.00E-07,100,1.00E-07,100,9.23E-08,9.56E-09,48.643,3.9293,2924.5,276.99,108.29,13.407
1,30,1.00E-07,100,1.00E-07,100,8.92E-08,9.56E-09,36.757,3.9293,2403.2,276.99,132.98,13.407
1,35,1.00E-07,100,1.00E-07,100,9.58E-08,9.56E-09,36.414,3.9293,2859.8,276.99,139.39,13.407
1,40,1.00E-07,100,1.00E-07,100,9.49E-08,9.56E-09,31.156,3.9293,2731.7,276.99,153.59,13.407
1,45,1.00E-07,100,1.00E-07,100,9.17E-08,9.56E-09,40.915,3.9293,2836.6,276.99,110.29,13.407
1,50,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,31.707,3.9293,3533.3,276.99,140.84,13.407
1,55,1.00E-07,100,1.00E-07,100,9.95E-08,9.56E-09,41.701,3.9293,2965.7,276.99,133.4,13.407
1,60,1.00E-07,100,1.00E-07,100,9.26E-08,9.56E-09,42.398,3.9293,2819,276.99,131.79,13.407
1,65,1.00E-07,100,1.00E-07,100,8.37E-08,9.56E-09,41.037,3.9293,3150.1,276.99,145.53,13.407
1,70,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,40.876,3.9293,2752.1,276.99,145.96,13.407
1,75,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,34.805,3.9293,2436.4,276.99,121.52,13.407
1,80,1.00E-07,100,1.00E-07,100,1.03E-07,9.56E-09,37.399,3.9293,2814.4,276.99,128.69,13.407
1,85,1.00E-07,100,1.00E-07,100,8.24E-08,9.56E-09,39.697,3.9293,2561.6,276.99,134.7,13.407
1,90,1.00E-07,100,1.00E-07,100,1.20E-07,9.56E-09,38.394,3.9293,2456.1,276.99,120.77,13.407
1,95,1.00E-07,100,1.00E-07,100,8.81E-08,9.56E-09,36.934,3.9293,2876.1,276.99,116.82,13.407
1,100,1.00E-07,100,1.00E-07,100,8.49E-08,9.56E-09,43.284,3.9293,2803,276.99,146.54,13.407
1,105,1.00E-07,100,1.00E-07,100,9.60E-08,9.56E-09,40.386,3.9293,3157.3,276.99,129.63,13.407
1,110,1.00E-07,100,1.00E-07,100,9.97E-08,9.56E-09,35.031,3.9293,2529.9,276.99,132.12,13.407
1,115,1.00E-07,100,1.00E-07,100,8.96E-08,9.56E-09,42.199,3.9293,3115.5,276.99,119.67,13.407
1,120,1.00E-07,100,1.00E-07,100,9.62E-08,9.56E-09,41.438,3.9293,2942.7,276.99,151.6,13.407
1,125,1.00E-07,100,1.00E-07,100,9.48E-08,9.56E-09,42.828,3.9293,2758.9,276.99,138.64,13.407
1,130,1.00E-07,100,1.00E-07,100,9.69E-08,9.56E-09,37.292,3.9293,3220.9,276.99,130.23,13.407
1,135,1.00E-07,100,1.00E-07,100,8.33E-08,9.56E-09,40.644,3.9293,3061.3,276.99,141.49,13.407
